Timestamp,Milliseconds,X,Y,Z
2021-03-04 00:42:37,842,-0.8327942,5.3898926,7.8094025
2021-03-04 00:42:37,851,-0.87828064,5.368332,7.8010254
2021-03-04 00:42:37,862,-0.8351898,5.364746,7.7854614
2021-03-04 00:42:37,871,-0.80526733,5.3312225,7.8213806
2021-03-04 00:42:37,882,-0.796875,5.318054,7.834549
2021-03-04 00:42:37,892,-1.3714905,5.3013,7.78067
2021-03-04 00:42:37,901,-0.7825165,5.3300323,7.784256
2021-03-04 00:42:37,912,-0.7956848,5.3156586,7.787857
2021-03-04 00:42:37,921,-0.8172302,5.3108826,7.7687073
2021-03-04 00:42:37,932,-0.79447937,5.3156586,7.8010254
2021-03-04 00:42:37,941,-0.81604004,5.3419952,7.8022156
2021-03-04 00:42:37,951,-0.79927063,5.313278,7.815384
2021-03-04 00:42:37,961,-0.84117126,5.3467865,7.803421
2021-03-04 00:42:37,971,-0.8327942,5.375519,7.863266
2021-03-04 00:42:37,981,-0.8327942,5.368332,7.8932037
2021-03-04 00:42:37,991,-0.8327942,5.371933,7.8764343
2021-03-04 00:42:37,1002,-0.8447571,5.359955,7.902771
2021-03-04 00:42:37,1012,-0.8543396,5.371933,7.8800354
2021-03-04 00:42:37,1021,-0.80166626,5.3515778,7.8656616
2021-03-04 00:42:37,1032,-0.7956848,5.336014,7.887207
2021-03-04 00:42:37,1041,-0.78970337,5.332428,7.9470673
2021-03-04 00:42:37,1052,-0.7777252,5.30249,7.9530487
2021-03-04 00:42:37,1061,-0.7741394,5.3120728,7.9207306
2021-03-04 00:42:37,1072,-1.3643036,5.325241,7.8812256
2021-03-04 00:42:37,1082,-0.78131104,5.3419952,7.8261566
2021-03-04 00:42:37,1092,-0.79447937,5.340805,7.818985
2021-03-04 00:42:37,1101,-0.81843567,5.3467865,7.8477173
2021-03-04 00:42:37,1111,-0.8794861,5.3791046,7.909958
2021-03-04 00:42:37,1122,-0.85913086,5.344391,7.8932037
2021-03-04 00:42:37,1131,-0.84835815,5.3611603,7.8644714
2021-03-04 00:42:37,1141,-0.76934814,5.368332,7.7938385
2021-03-04 00:42:37,1151,-0.77293396,5.3695374,7.744766
2021-03-04 00:42:37,1162,-0.7932892,5.3419952,7.736374
2021-03-04 00:42:37,1172,-0.79808044,5.3432007,7.748352
2021-03-04 00:42:37,1181,-0.8292084,5.357559,7.784256
2021-03-04 00:42:37,1191,-0.86990356,5.368332,7.784256
2021-03-04 00:42:37,1202,-0.8423767,5.359955,7.760315
2021-03-04 00:42:37,1212,-0.8244171,5.3659363,7.77948
2021-03-04 00:42:37,1221,-0.8220215,5.3455963,7.7627106
2021-03-04 00:42:37,1232,-0.80166626,5.3671417,7.7591248
2021-03-04 00:42:37,1242,-0.7681427,5.3707275,7.8141937
2021-03-04 00:42:37,1251,-0.79927063,5.333618,7.820175
2021-03-04 00:42:37,1262,-0.80526733,5.3312225,7.835739
2021-03-04 00:42:37,1271,-1.3547363,5.359955,7.796234
2021-03-04 00:42:37,1282,-0.83758545,5.3659363,7.8608704
2021-03-04 00:42:37,1291,-0.9022217,5.3539734,7.9722137
2021-03-04 00:42:37,1301,-0.87709045,5.3503876,8.048828
2021-03-04 00:42:37,1312,-0.83758545,5.340805,8.066772
2021-03-04 00:42:37,1321,-0.8567352,5.3432007,8.082336
2021-03-04 00:42:37,1332,-0.80526733,5.3551636,7.981781
2021-03-04 00:42:37,1342,-0.7753296,5.3587646,7.8955994
2021-03-04 00:42:37,1351,-0.77293396,5.3539734,7.834549
2021-03-04 00:42:37,1362,-0.78131104,5.3671417,7.744766
2021-03-04 00:42:37,1371,-0.8746948,5.359955,7.725601
2021-03-04 00:42:37,1381,-0.86990356,5.333618,7.7663116
2021-03-04 00:42:37,1392,-0.8794861,5.364746,7.8094025
2021-03-04 00:42:37,1402,-0.86990356,5.3432007,7.803421
2021-03-04 00:42:37,1411,-0.81243896,5.363556,7.7303925
2021-03-04 00:42:37,1421,-0.8256073,5.3455963,7.710037
2021-03-04 00:42:37,1432,-0.8459625,5.375519,7.7220154
2021-03-04 00:42:37,1441,-0.82321167,5.3707275,7.744766
2021-03-04 00:42:37,1452,-0.80526733,5.371933,7.7818756
2021-03-04 00:42:37,1461,-0.80526733,5.332428,7.842926
2021-03-04 00:42:37,1471,-0.84835815,5.332428,7.87883
2021-03-04 00:42:37,1482,-0.8471527,5.3467865,7.85849
2021-03-04 00:42:37,1493,-0.81243896,5.3623505,7.9087677
2021-03-04 00:42:37,1501,-0.8220215,5.375519,7.883621
2021-03-04 00:42:37,1512,-0.8447571,5.3515778,7.890808
2021-03-04 00:42:37,1522,-0.86750793,5.397064,7.901581
2021-03-04 00:42:37,1531,-0.84954834,5.364746,7.941086
2021-03-04 00:42:37,1541,-0.83158875,5.357559,7.962631
2021-03-04 00:42:37,1552,-0.8435669,5.349182,7.9075623
2021-03-04 00:42:37,1561,-0.8004761,5.3515778,7.8321533
2021-03-04 00:42:37,1571,-0.8004761,5.3395996,7.796234
