Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2021-03-04 00:42:36,1,0.117599204,0.26770568,0.77730906,0.557041,0.0
2021-03-04 00:42:36,11,0.117599204,0.26770568,0.77730906,0.557041,0.0
2021-03-04 00:42:36,21,0.1179396,0.26784614,0.7762996,0.5583078,0.0
2021-03-04 00:42:36,31,0.1183317,0.26823026,0.7750511,0.5597731,0.0
2021-03-04 00:42:36,41,0.1183317,0.26823026,0.7750511,0.5597731,0.0
2021-03-04 00:42:36,51,0.118411265,0.26865166,0.7745102,0.5603026,0.0
2021-03-04 00:42:36,61,0.118411265,0.26865166,0.7745102,0.5603026,0.0
2021-03-04 00:42:36,71,0.11847547,0.26886666,0.7738271,0.56112915,0.0
2021-03-04 00:42:36,81,0.11847547,0.26886666,0.7738271,0.56112915,0.0
2021-03-04 00:42:36,92,0.118301645,0.26921818,0.77399445,0.56076634,0.0
2021-03-04 00:42:36,101,0.118301645,0.26921818,0.77399445,0.56076634,0.0
2021-03-04 00:42:36,111,0.11750202,0.2695682,0.7745274,0.56003004,0.0
2021-03-04 00:42:36,121,0.11750202,0.2695682,0.7745274,0.56003004,0.0
2021-03-04 00:42:36,131,0.117680594,0.2685419,0.7757707,0.55876315,0.0
2021-03-04 00:42:36,141,0.117680594,0.2685419,0.7757707,0.55876315,0.0
2021-03-04 00:42:36,151,0.117973074,0.26750973,0.7765912,0.5580565,0.0
2021-03-04 00:42:36,161,0.117973074,0.26750973,0.7765912,0.5580565,0.0
2021-03-04 00:42:36,171,0.11882455,0.26672775,0.77669275,0.5581088,0.0
2021-03-04 00:42:36,181,0.11882455,0.26672775,0.77669275,0.5581088,0.0
2021-03-04 00:42:36,191,0.11975917,0.26618326,0.7765586,0.5583556,0.0
2021-03-04 00:42:36,201,0.11975917,0.26618326,0.7765586,0.5583556,0.0
2021-03-04 00:42:36,211,0.120477535,0.26588956,0.7765683,0.5583275,0.0
2021-03-04 00:42:36,221,0.120477535,0.26588956,0.7765683,0.5583275,0.0
2021-03-04 00:42:36,231,0.1206816,0.26596224,0.77776796,0.5565762,0.0
2021-03-04 00:42:36,241,0.1206816,0.26596224,0.77776796,0.5565762,0.0
2021-03-04 00:42:36,251,0.12097805,0.2661097,0.77807736,0.55600864,0.0
2021-03-04 00:42:36,261,0.12097805,0.2661097,0.77807736,0.55600864,0.0
2021-03-04 00:42:36,271,0.12013641,0.26712233,0.77806044,0.55572915,0.0
2021-03-04 00:42:36,281,0.12013641,0.26712233,0.77806044,0.55572915,0.0
2021-03-04 00:42:36,292,0.12068001,0.2672215,0.77696556,0.5570938,0.0
2021-03-04 00:42:36,301,0.12068001,0.2672215,0.77696556,0.5570938,0.0
2021-03-04 00:42:36,311,0.12069495,0.26740974,0.7779206,0.5556657,0.0
2021-03-04 00:42:36,321,0.12069495,0.26740974,0.7779206,0.5556657,0.0
2021-03-04 00:42:36,331,0.12140245,0.26723143,0.77806115,0.55540043,0.0
2021-03-04 00:42:36,341,0.12140245,0.26723143,0.77806115,0.55540043,0.0
2021-03-04 00:42:36,351,0.12147907,0.26727685,0.7776521,0.5559345,0.0
2021-03-04 00:42:36,361,0.12147907,0.26727685,0.7776521,0.5559345,0.0
2021-03-04 00:42:36,371,0.12147907,0.26727685,0.7776521,0.5559345,0.0
2021-03-04 00:42:36,382,0.12024284,0.26806617,0.7783234,0.5548827,0.0
2021-03-04 00:42:36,391,0.120885335,0.26746324,0.7786842,0.55452776,0.0
2021-03-04 00:42:36,401,0.120885335,0.26746324,0.7786842,0.55452776,0.0
2021-03-04 00:42:36,411,0.12114671,0.26718614,0.778808,0.5544304,0.0
2021-03-04 00:42:36,421,0.12114671,0.26718614,0.778808,0.5544304,0.0
2021-03-04 00:42:36,431,0.12114671,0.26718614,0.778808,0.5544304,0.0
2021-03-04 00:42:36,442,0.11967424,0.2681385,0.77993333,0.55270594,0.0
2021-03-04 00:42:36,452,0.11967424,0.2681385,0.77993333,0.55270594,0.0
2021-03-04 00:42:36,461,0.12095162,0.26779696,0.77934045,0.55342925,0.0
2021-03-04 00:42:36,471,0.12095162,0.26779696,0.77934045,0.55342925,0.0
2021-03-04 00:42:36,481,0.1222858,0.26756874,0.77853566,0.55437833,0.0
2021-03-04 00:42:36,491,0.1222858,0.26756874,0.77853566,0.55437833,0.0
2021-03-04 00:42:36,502,0.12339914,0.26737833,0.77793765,0.5550626,0.0
2021-03-04 00:42:36,512,0.12339914,0.26737833,0.77793765,0.5550626,0.0
2021-03-04 00:42:36,521,0.12407414,0.26732886,0.77809894,0.5547098,0.0
2021-03-04 00:42:36,531,0.12407414,0.26732886,0.77809894,0.5547098,0.0
2021-03-04 00:42:36,541,0.12487802,0.2671546,0.7775675,0.5553581,0.0
2021-03-04 00:42:36,551,0.12487802,0.2671546,0.7775675,0.5553581,0.0
2021-03-04 00:42:36,561,0.12520242,0.267249,0.7772202,0.5557257,0.0
2021-03-04 00:42:36,571,0.12520242,0.267249,0.7772202,0.5557257,0.0
2021-03-04 00:42:36,581,0.12410318,0.2678334,0.7773442,0.55551744,0.0
2021-03-04 00:42:36,592,0.12410318,0.2678334,0.7773442,0.55551744,0.0
2021-03-04 00:42:36,602,0.12277213,0.26820683,0.7778174,0.5549704,0.0
2021-03-04 00:42:36,611,0.12277213,0.26820683,0.7778174,0.5549704,0.0
2021-03-04 00:42:36,621,0.121230796,0.26892588,0.778881,0.5534675,0.0
2021-03-04 00:42:36,632,0.121230796,0.26892588,0.778881,0.5534675,0.0
