,lr,momentum,batch_size,n1,n2,ks,val_acc,predict_time
0,1.0000000000000003e-05,0.8,48,40,104,60,0.4528301954269409,0.25632691383361816
1,0.010000000000000002,0.8,48,88,112,44,0.9669811129570007,0.258411169052124
2,0.0316227766016838,0.99,80,72,88,52,0.9764150977134705,0.2553858757019043
3,0.00316227766016838,0.95,16,56,120,20,0.9386792182922363,0.30005478858947754
4,3.16227766016838e-05,0.95,16,40,72,12,0.5754716992378235,0.2610461711883545
5,3.16227766016838e-05,0.9,16,88,88,12,0.7877358198165894,0.3036813735961914
6,0.1,0.9,32,8,88,56,0.9198113083839417,0.24436187744140625
7,0.00316227766016838,0.99,16,88,112,28,0.9669811129570007,0.2637176513671875
8,0.0316227766016838,0.99,32,48,24,20,0.9245283007621765,0.25574827194213867
9,0.1,0.99,80,24,80,16,0.9245283007621765,0.2532625198364258
10,3.16227766016838e-05,0.99,80,72,64,36,0.8537735939025879,0.24405217170715332
11,0.010000000000000002,0.9,16,24,112,32,0.9575471878051758,0.2461533546447754
12,0.0010000000000000002,0.95,64,32,8,24,0.9056603908538818,0.24015569686889648
13,0.1,0.95,16,64,112,16,0.9764150977134705,0.2948644161224365
14,3.16227766016838e-05,0.95,80,112,56,52,0.7971698045730591,0.25750064849853516
15,0.1,0.8,64,88,96,16,0.9433962106704712,0.2455730438232422
16,1.0000000000000003e-05,0.9,32,24,24,8,0.1037735864520073,0.24888920783996582
17,0.0010000000000000002,0.99,96,24,112,60,0.9433962106704712,0.25551581382751465
18,0.00010000000000000002,0.8,32,48,80,56,0.7877358198165894,0.2529027462005615
19,3.16227766016838e-05,0.99,64,24,16,60,0.7216981053352356,0.23435354232788086
20,0.0010000000000000002,0.99,16,104,40,52,0.9528301954269409,0.2524385452270508
21,0.1,0.8,80,56,104,44,0.9669811129570007,0.2479093074798584
22,0.0010000000000000002,0.95,48,120,32,20,0.948113203048706,0.2685890197753906
23,3.1622776601683805e-06,0.8,48,112,88,52,0.2641509473323822,0.2411487102508545
24,0.0010000000000000002,0.99,96,80,56,56,0.9528301954269409,0.24765586853027344
25,0.1,0.9,32,104,24,8,0.9198113083839417,0.2625107765197754
26,0.1,0.9,16,64,96,16,0.9528301954269409,0.27632641792297363
27,0.00010000000000000002,0.95,96,112,40,4,0.33018869161605835,0.28360915184020996
28,3.16227766016838e-05,0.99,48,48,48,56,0.8773584961891174,0.24192547798156738
29,0.0010000000000000002,0.8,32,16,112,12,0.8679245114326477,0.25596189498901367
30,0.0316227766016838,0.95,64,40,8,48,0.9339622855186462,0.24323415756225586
31,0.0316227766016838,0.8,48,8,80,52,0.948113203048706,0.23729515075683594
32,0.010000000000000002,0.99,80,88,104,40,0.9528301954269409,0.2668600082397461
33,0.010000000000000002,0.8,16,48,72,16,0.9575471878051758,0.23149442672729492
34,0.000316227766016838,0.9,64,88,120,12,0.8349056839942932,0.2363739013671875
35,1.0000000000000003e-05,0.99,96,16,80,44,0.6839622855186462,0.24600577354431152
36,3.16227766016838e-05,0.95,16,56,120,44,0.8584905862808228,0.24557018280029297
37,0.010000000000000002,0.95,96,40,80,48,0.9339622855186462,0.2323906421661377
38,0.010000000000000002,0.95,64,16,64,24,0.9575471878051758,0.24291324615478516
39,0.1,0.95,48,48,120,52,0.9198113083839417,0.24152159690856934
40,3.1622776601683805e-06,0.8,48,16,56,16,0.1603773534297943,0.24788141250610352
41,0.010000000000000002,0.99,80,104,64,56,0.948113203048706,0.25500965118408203
42,3.1622776601683805e-06,0.99,64,104,48,32,0.7075471878051758,0.2593510150909424
43,3.1622776601683805e-06,0.8,16,120,96,56,0.599056601524353,0.2666134834289551
44,0.0010000000000000002,0.99,64,40,72,36,0.9433962106704712,0.24750328063964844
45,3.16227766016838e-05,0.95,32,96,56,12,0.7405660152435303,0.2894914150238037
46,0.0316227766016838,0.99,80,72,48,16,0.9575471878051758,0.27076292037963867
47,3.1622776601683805e-06,0.9,64,64,24,60,0.49528300762176514,0.2518928050994873
48,0.00316227766016838,0.9,64,56,64,40,0.9433962106704712,0.23337292671203613
49,0.0316227766016838,0.8,96,104,120,24,0.9386792182922363,0.26230835914611816
50,0.00010000000000000002,0.95,16,48,40,12,0.8584905862808228,0.25579118728637695
51,0.0316227766016838,0.95,64,40,8,4,0.8820754885673523,0.2490088939666748
52,0.00316227766016838,0.95,48,40,40,60,0.948113203048706,0.23456645011901855
53,0.1,0.95,64,64,8,56,0.9622641801834106,0.23936057090759277
54,3.1622776601683805e-06,0.99,80,104,8,24,0.6556603908538818,0.24462008476257324
55,0.000316227766016838,0.99,48,72,64,60,0.9528301954269409,0.2525444030761719
56,3.1622776601683805e-06,0.99,32,8,88,20,0.599056601524353,0.25507330894470215
57,0.000316227766016838,0.95,32,24,96,32,0.9103773832321167,0.24119877815246582
58,0.0010000000000000002,0.99,64,16,72,44,0.9386792182922363,0.2402346134185791
59,0.0316227766016838,0.95,16,32,48,4,0.9292452931404114,0.2559628486633301
60,0.00316227766016838,0.95,80,64,24,12,0.9433962106704712,0.25628113746643066
61,0.000316227766016838,0.99,48,120,120,56,0.9575471878051758,0.2572753429412842
62,0.010000000000000002,0.99,96,96,32,24,0.9528301954269409,0.2412583827972412
63,3.1622776601683805e-06,0.8,80,88,88,24,0.1462264209985733,0.27628254890441895
64,0.00010000000000000002,0.9,64,72,40,16,0.7547169923782349,0.26483964920043945
65,0.000316227766016838,0.9,64,72,48,24,0.8349056839942932,0.25932765007019043
66,0.00010000000000000002,0.8,32,96,24,60,0.698113203048706,0.25188517570495605
67,0.1,0.95,64,88,104,36,0.9528301954269409,0.26337242126464844
68,0.000316227766016838,0.95,96,16,32,24,0.7735849022865295,0.24124383926391602
69,0.0010000000000000002,0.9,16,112,48,32,0.9386792182922363,0.267747163772583
70,0.00010000000000000002,0.99,80,8,48,32,0.8113207817077637,0.2445697784423828
